Params
Solar8000/ART_DBP
Solar8000/ART_MBP
Solar8000/ART_SBP
Solar8000/NIBP_DBP
Solar8000/NIBP_MBP
Solar8000/NIBP_SBP
Solar8000/PA_DBP
Solar8000/PA_MBP
Solar8000/PA_SBP
CardioQ/ABP
EV1000/ART_MBP
Orchestra/PPF20_CE
Orchestra/PPF20_CP
Orchestra/PPF20_CT
Orchestra/PPF20_RATE
Orchestra/PPF20_VOL
Orchestra/RFTN20_CE
Orchestra/RFTN20_CP
Orchestra/RFTN20_CT
Orchestra/RFTN20_RATE
Orchestra/RFTN20_VOL
Orchestra/RFTN50_CE
Orchestra/RFTN50_CP
Orchestra/RFTN50_CT
Orchestra/RFTN50_RATE
Orchestra/RFTN50_VOL
Primus/INSP_DES
Primus/INSP_SEVO
Primus/MAC
BIS/BIS
BIS/EEG1_WAV
BIS/EEG2_WAV
BIS/EMG
BIS/SEF
BIS/SR
